"year","pinks","pinks_2","pinks_3","pinks_4","chum","chum_2","chum_3","chum_4","NPGO","NPGO_1","NPGO_2","NPGO_3","NPGO_4","mst","mst_2","SST_2","SST_3","SST_4","SST","SST_cst","SST_cst_2","SST_cst_3","SST_cst_4","av_CFS_min","av_CFS_max","av_CFS_min_1","av_CFS_max_1","seals","seals_3","seals_4"
1979,319.9,297.88,223.2,431.01,63.79,79.93,77.9,80.15,-0.7372,-0.7491,-0.2218,-0.6867,-0.0921,65,83,10.2477,9.1384,8.881,10.811,14.24,13.71,13.67,15.04,0.8388,1.3433,1.0896,1.0864,NA,NA,11007
1980,244.49,223.2,431.01,308.77,70.96,77.9,80.15,91.55,-0.7491,-0.2218,-0.6867,-0.0921,0.6208,76,104,9.0474,8.9834,9.8209,10.7435,13.85,13.67,15.04,13.48,1.0896,1.0864,0.045,-0.4202,6898,11007,NA
1981,297.88,431.01,308.77,326.29,79.93,80.15,91.55,107.14,-0.2218,-0.6867,-0.0921,0.6208,-0.3939,83,91,9.8156,9.8956,9.4073,10.1121,13.71,15.04,13.48,13.77,0.045,-0.4202,0.6439,0.3219,8896,NA,NA
1982,223.2,308.77,326.29,261.76,77.9,91.55,107.14,108.42,-0.6867,-0.0921,0.6208,-0.3939,-0.7328,104,109,10.3926,9.2093,9.4859,10.0684,13.67,13.48,13.77,13.87,0.6439,0.3219,-3e-04,0.7907,NA,NA,10282
1983,431.01,326.29,261.76,270.33,80.15,107.14,108.42,93.32,-0.0921,0.6208,-0.3939,-0.7328,0.4292,91,45,9.287,9.0538,8.7999,9.4447,15.04,13.77,13.87,13.65,-3e-04,0.7907,0.5371,-1.1489,11007,10282,16060
1984,308.77,261.76,270.33,212.16,91.55,108.42,93.32,111.96,0.6208,-0.3939,-0.7328,0.4292,1.3236,109,86,9.2324,8.7532,8.9792,10.2906,13.48,13.87,13.65,13.72,0.5371,-1.1489,-0.4116,0.5153,NA,16060,NA
1985,326.29,270.33,212.16,364.39,107.14,93.32,111.96,99.08,-0.3939,-0.7328,0.4292,1.3236,0.6122,45,72,9.2964,8.7935,9.9676,10.1399,13.77,13.65,13.72,14.73,-0.4116,0.5153,-0.6338,0.5558,NA,NA,16762
1986,261.76,212.16,364.39,303.04,108.42,111.96,99.08,113.61,-0.7328,0.4292,1.3236,0.6122,-0.2015,86,85,9.3282,9.888,10.0511,9.8137,13.87,13.72,14.73,14.98,-0.6338,0.5558,-1.6674,-1.3291,10282,16762,NA
1987,270.33,364.39,303.04,486.02,93.32,99.08,113.61,105.3,0.4292,1.3236,0.6122,-0.2015,-0.4989,72,94,10.1906,9.2633,10.0894,9.2001,13.65,14.73,14.98,13.77,-1.6674,-1.3291,-0.1282,-0.8349,16060,NA,20519
1988,212.16,303.04,486.02,277.23,111.96,113.61,105.3,92.41,1.3236,0.6122,-0.2015,-0.4989,-1.0949,85,76,9.5759,9.4676,9.4462,9.4218,13.72,14.98,13.77,14.87,-0.1282,-0.8349,-0.5026,0.2275,NA,20519,18666
1989,364.39,486.02,277.23,398.59,99.08,105.3,92.41,122.82,0.6122,-0.2015,-0.4989,-1.0949,-1.902,94,62,9.6773,9.5931,9.7667,10.7456,14.73,13.77,14.87,15.02,-0.5026,0.2275,0.3597,1.1897,16762,18666,17229
1990,303.04,277.23,398.59,453.75,113.61,92.41,122.82,137.42,-0.2015,-0.4989,-1.0949,-1.902,-1.2116,76,64,10.1457,9.9291,10.3059,10.1396,14.98,14.87,15.02,14.85,0.3597,1.1897,0.7418,0.0699,NA,17229,13314
1991,486.02,398.59,453.75,434.87,105.3,122.82,137.42,146.23,-0.4989,-1.0949,-1.902,-1.2116,-1.0392,62,116,10.5644,9.8043,9.9744,10.4838,13.77,15.02,14.85,15.23,0.7418,0.0699,-0.991,-1.0166,20519,13314,16605
1992,277.23,453.75,434.87,424.25,92.41,137.42,146.23,161.9,-1.0949,-1.902,-1.2116,-1.0392,-0.9728,64,82,10.1285,9.5453,10.7938,10.2682,14.87,14.85,15.23,13.9,-0.991,-1.0166,-0.2696,-0.5351,18666,16605,18578
1993,398.59,434.87,424.25,401.97,122.82,146.23,161.9,132.95,-1.902,-1.2116,-1.0392,-0.9728,-0.6577,116,100,9.6835,10.1707,10.4057,10.3396,15.02,15.23,13.9,15.38,-0.2696,-0.5351,-0.7375,0.4175,17229,18578,NA
1994,453.75,424.25,401.97,443.57,137.42,161.9,132.95,134.47,-1.2116,-1.0392,-0.9728,-0.6577,0.5446,82,116,10.2538,10.8707,10.1376,10.7279,14.85,13.9,15.38,14.7,-0.7375,0.4175,-0.1448,1.0375,13314,NA,NA
1995,434.87,401.97,443.57,501.07,146.23,132.95,134.47,115.17,-1.0392,-0.9728,-0.6577,0.5446,1.5158,100,78,11.5318,9.4372,9.2431,10.2997,15.23,15.38,14.7,13.7,-0.1448,1.0375,0.1593,1.4116,16605,NA,16024
1996,424.25,443.57,501.07,381.82,161.9,134.47,115.17,113.95,-0.9728,-0.6577,0.5446,1.5158,1.8859,116,71,9.8276,9.4051,9.7928,10.9975,13.9,14.7,13.7,14.48,0.1593,1.4116,1.9394,-0.9152,18578,16024,19200
1997,401.97,501.07,381.82,401.82,132.95,115.17,113.95,133.72,-0.6577,0.5446,1.5158,1.8859,2.0807,78,88,9.5097,10.0557,10.7539,11.3651,15.38,13.7,14.48,13.82,1.9394,-0.9152,-0.4015,0.5975,NA,19200,18805
