"pop","A","year","S_obs","n_age3M_obs","n_age4M_obs","n_age5M_obs","n_age6M_obs","n_age7M_obs","n_age8M_obs","n_age4K_obs","n_age5K_obs","n_age6K_obs","n_age7K_obs","n_age8K_obs","n_age9K_obs","n_W_obs","n_H_obs","B_take_obs","fit_p_HOS","F_rate","F_rate_NA"
"Chehalis",1965,1983,4710,0,28,29,1,1,0,1,4,6,2,0,0,0,0,0,FALSE,0.273,FALSE
"Chehalis",1965,1984,9095,2,129,69,6,0,0,3,38,21,4,1,0,0,0,0,FALSE,0.0909,FALSE
"Chehalis",1965,1985,10583,1,81,49,1,0,0,4,27,21,7,0,0,0,0,0,FALSE,0.1708,FALSE
"Chehalis",1965,1986,13558,4,39,40,1,0,0,3,12,6,1,0,0,0,0,0,FALSE,0.1456,FALSE
"Chehalis",1965,1987,13262,2,52,57,10,1,0,2,18,21,7,1,0,0,0,0,FALSE,0.2456,FALSE
"Chehalis",1965,1988,6381,0,64,89,8,0,0,2,16,15,8,2,0,0,0,0,FALSE,0.4164,FALSE
"Chehalis",1965,1989,7110,4,84,121,21,0,0,2,40,32,12,2,0,0,0,0,FALSE,0.3437,FALSE
"Chehalis",1965,1990,9010,3,70,58,19,0,0,0,6,15,3,1,0,0,0,0,FALSE,0.2514,FALSE
"Chehalis",1965,1991,7781,1,27,55,3,0,0,1,19,10,6,2,0,0,0,0,FALSE,0.172,FALSE
"Chehalis",1965,1992,7652,0,87,42,3,0,0,1,9,9,1,0,0,0,0,0,FALSE,0.3109,FALSE
"Chehalis",1965,1993,5904,0,24,42,4,1,0,0,12,3,2,0,0,0,0,0,FALSE,0.2526,FALSE
"Chehalis",1965,1994,8391,0,106,55,3,0,0,2,13,16,1,0,0,0,0,0,FALSE,0.2073,FALSE
"Chehalis",1965,1995,8713,0,36,38,2,1,0,0,14,7,7,0,0,0,0,0,FALSE,0.116,FALSE
"Chehalis",1965,1996,7585,0,62,23,1,0,0,2,13,6,3,2,0,0,0,0,FALSE,0.1467,FALSE
"Chehalis",1965,1997,6714,0,29,8,1,0,0,2,2,0,0,0,0,0,0,0,FALSE,0.0982,FALSE
"Chehalis",1965,1998,5964,0,18,15,2,0,0,0,9,9,0,0,0,0,0,0,FALSE,0.053,FALSE
"Chehalis",1965,1999,10720,1,14,4,0,0,0,0,3,2,1,0,0,0,0,0,FALSE,0.0374,FALSE
"Chehalis",1965,2000,11679,0,7,5,0,0,0,0,0,3,0,0,0,0,0,0,FALSE,0.0272,FALSE
"Chehalis",1965,2001,9802,0,42,29,2,0,0,1,11,5,0,4,0,0,0,0,FALSE,0.0992,FALSE
"Chehalis",1965,2002,10440,0,50,31,6,0,0,0,12,3,4,1,0,0,0,0,FALSE,0.0827,FALSE
"Chehalis",1965,2003,8424,4,79,127,24,0,0,1,28,24,6,0,0,0,0,0,FALSE,0.1549,FALSE
"Chehalis",1965,2004,15825,0,127,132,22,2,0,1,9,20,6,3,0,0,0,0,FALSE,0.1693,FALSE
"Chehalis",1965,2005,9059,1,46,74,11,1,0,0,20,9,3,0,0,0,0,0,FALSE,0.1751,FALSE
"Chehalis",1965,2006,10418,0,47,53,10,0,0,0,4,6,2,0,0,0,0,0,FALSE,0.1228,FALSE
"Chehalis",1965,2007,7602,1,31,60,8,1,0,0,5,3,1,0,0,0,0,0,FALSE,0.1262,FALSE
"Chehalis",1965,2008,6493,0,44,36,8,1,0,1,14,6,0,0,0,0,0,0,FALSE,0.1383,FALSE
"Chehalis",1965,2009,6955,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0647,FALSE
"Chehalis",1965,2010,6765,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.045,FALSE
"Chehalis",1965,2011,6090,5,136,186,11,0,0,0,43,4,1,0,0,0,0,0,FALSE,0.1356,FALSE
"Chehalis",1965,2012,7592,2,55,51,5,1,0,1,7,7,0,0,0,0,0,0,FALSE,0.1466,FALSE
"Chehalis",1965,2013,9776,1,86,65,8,0,0,1,17,12,0,0,0,0,0,0,FALSE,0.0796,FALSE
"Chehalis",1965,2014,6944,0,61,43,4,0,0,1,10,5,1,0,0,0,0,0,FALSE,0.1358,FALSE
"Chehalis",1965,2015,10568,1,73,33,1,0,0,0,12,1,0,0,0,0,0,0,FALSE,0.1444,FALSE
"Chehalis",1965,2016,8824,0,87,128,15,0,0,1,31,11,3,0,0,0,0,0,FALSE,0.248,FALSE
"Chehalis",1965,2017,4618,0,60,58,5,0,0,0,5,7,0,0,0,0,0,0,FALSE,0.1786,FALSE
"Chehalis",1965,2018,6840,2,129,48,6,0,0,2,4,4,0,0,0,0,0,0,FALSE,0.1165,FALSE
"Chehalis",1965,2019,6130,0,40,76,1,0,0,3,11,1,0,0,0,0,0,0,FALSE,0.0796,FALSE
"Chehalis",1965,2020,6283,2,13,7,2,0,0,0,2,0,0,0,0,0,0,0,FALSE,0.0621,FALSE
"Chehalis",1965,2021,5634,1,3,8,0,0,0,0,2,1,0,0,0,0,0,0,FALSE,0.0271,FALSE
"Chehalis",1965,2022,5350,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,TRUE
"Hoh",242,1980,2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.3718,FALSE
"Hoh",242,1981,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.4546,FALSE
"Hoh",242,1982,3984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.3111,FALSE
"Hoh",242,1983,4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.2002,FALSE
"Hoh",242,1984,3670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.3096,FALSE
"Hoh",242,1985,3228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.4358,FALSE
"Hoh",242,1986,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.4111,FALSE
"Hoh",242,1987,2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.3576,FALSE
"Hoh",242,1988,2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.4907,FALSE
"Hoh",242,1989,2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.364,FALSE
"Hoh",242,1990,2390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.4718,FALSE
"Hoh",242,1991,2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.3383,FALSE
"Hoh",242,1992,2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.5435,FALSE
"Hoh",242,1993,2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.5046,FALSE
"Hoh",242,1994,2239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.4386,FALSE
"Hoh",242,1995,2204,11,141,117,9,2,0,0,13,18,4,0,0,0,0,0,FALSE,0.3828,FALSE
"Hoh",242,1996,2340,5,205,95,8,0,0,1,13,9,2,1,0,0,0,0,FALSE,0.4289,FALSE
"Hoh",242,1997,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.2755,FALSE
"Hoh",242,1998,3689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0724,FALSE
"Hoh",242,1999,3095,2,100,72,9,1,0,0,12,16,3,2,0,0,0,0,FALSE,0.2493,FALSE
"Hoh",242,2000,3162,0,187,159,15,2,0,0,17,11,5,0,0,0,0,0,FALSE,0.2923,FALSE
"Hoh",242,2001,2767,32,389,471,26,0,0,2,62,30,12,3,0,0,0,0,FALSE,0.4829,FALSE
"Hoh",242,2002,2811,3,323,88,6,1,0,2,5,13,3,1,0,0,0,0,FALSE,0.4515,FALSE
"Hoh",242,2003,1616,0,131,310,38,0,0,2,28,14,9,1,0,0,0,0,FALSE,0.549,FALSE
"Hoh",242,2004,2268,1,232,201,37,0,0,1,20,35,7,2,0,0,0,0,FALSE,0.4404,FALSE
"Hoh",242,2005,1480,1,134,240,16,0,0,1,49,22,10,1,0,0,0,0,FALSE,0.4171,FALSE
"Hoh",242,2006,3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.1097,FALSE
"Hoh",242,2007,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.2269,FALSE
"Hoh",242,2008,2419,16,206,145,11,0,0,4,34,45,7,3,0,0,0,0,FALSE,0.3091,FALSE
"Hoh",242,2009,2258,1,198,81,2,0,0,0,33,15,3,7,0,0,0,0,FALSE,0.2816,FALSE
"Hoh",242,2010,2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.2656,FALSE
"Hoh",242,2011,3499,2,23,11,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.2037,FALSE
"Hoh",242,2012,3221,1,28,22,1,0,0,0,2,2,1,0,0,0,0,0,FALSE,0.285,FALSE
"Hoh",242,2013,2302,0,128,158,9,0,0,0,24,10,0,0,0,0,0,0,FALSE,0.3676,FALSE
"Hoh",242,2014,1786,0,322,260,13,0,0,1,38,25,1,0,0,0,0,0,FALSE,0.4319,FALSE
"Hoh",242,2015,3171,0,155,161,11,0,0,0,24,18,5,0,0,0,0,0,FALSE,0.2658,FALSE
"Hoh",242,2016,2227,0,101,92,7,0,0,0,9,5,0,0,0,0,0,0,FALSE,0.1931,FALSE
"Hoh",242,2017,2286,0,25,58,5,0,0,0,6,3,0,0,0,0,0,0,FALSE,0.1663,FALSE
"Hoh",242,2018,2889,0,33,10,1,0,0,0,0,5,0,0,0,0,0,0,FALSE,0.1379,FALSE
"Hoh",242,2019,2480,0,7,7,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,0.1326,FALSE
"Hoh",242,2020,2440,0,225,122,4,0,0,0,14,12,0,0,0,0,0,0,FALSE,0.1931,FALSE
"Hoh",242,2021,2826,0,41,91,1,0,0,0,19,9,0,0,0,0,0,0,FALSE,0.1229,FALSE
"Hoh",242,2022,3100,0,127,47,2,0,0,0,6,6,1,0,0,0,0,0,FALSE,0.0996,FALSE
