"pop","A","year","S_obs","n_age3M_obs","n_age4M_obs","n_age5M_obs","n_age6M_obs","n_age7M_obs","n_age8M_obs","n_age4K_obs","n_age5K_obs","n_age6K_obs","n_age7K_obs","n_age8K_obs","n_age9K_obs","n_W_obs","n_H_obs","B_take_obs","fit_p_HOS","F_rate","F_rate_NA"
"Chehalis",1965,1983,4710,0,28,29,1,1,0,1,4,6,2,0,0,0,0,0,FALSE,0.323,FALSE
"Chehalis",1965,1984,9095,2,129,69,6,0,0,3,38,21,4,1,0,0,0,0,FALSE,0.1409,FALSE
"Chehalis",1965,1985,10583,1,81,49,1,0,0,4,27,21,7,0,0,0,0,0,FALSE,0.2208,FALSE
"Chehalis",1965,1986,13558,4,39,40,1,0,0,3,12,6,1,0,0,0,0,0,FALSE,0.1956,FALSE
"Chehalis",1965,1987,13262,2,52,57,10,1,0,2,18,21,7,1,0,0,0,0,FALSE,0.2956,FALSE
"Chehalis",1965,1988,6381,0,64,89,8,0,0,2,16,15,8,2,0,0,0,0,FALSE,0.4664,FALSE
"Chehalis",1965,1989,7110,4,84,121,21,0,0,2,40,32,12,2,0,0,0,0,FALSE,0.3937,FALSE
"Chehalis",1965,1990,9010,3,70,58,19,0,0,0,6,15,3,1,0,0,0,0,FALSE,0.3014,FALSE
"Chehalis",1965,1991,7781,1,27,55,3,0,0,1,19,10,6,2,0,0,0,0,FALSE,0.222,FALSE
"Chehalis",1965,1992,7652,0,87,42,3,0,0,1,9,9,1,0,0,0,0,0,FALSE,0.3609,FALSE
"Chehalis",1965,1993,5904,0,24,42,4,1,0,0,12,3,2,0,0,0,0,0,FALSE,0.3026,FALSE
"Chehalis",1965,1994,8391,0,106,55,3,0,0,2,13,16,1,0,0,0,0,0,FALSE,0.2573,FALSE
"Chehalis",1965,1995,8713,0,36,38,2,1,0,0,14,7,7,0,0,0,0,0,FALSE,0.166,FALSE
"Chehalis",1965,1996,7585,0,62,23,1,0,0,2,13,6,3,2,0,0,0,0,FALSE,0.1967,FALSE
"Chehalis",1965,1997,6714,0,29,8,1,0,0,2,2,0,0,0,0,0,0,0,FALSE,0.1482,FALSE
"Chehalis",1965,1998,5964,0,18,15,2,0,0,0,9,9,0,0,0,0,0,0,FALSE,0.103,FALSE
"Chehalis",1965,1999,10720,1,14,4,0,0,0,0,3,2,1,0,0,0,0,0,FALSE,0.0874,FALSE
"Chehalis",1965,2000,11679,0,7,5,0,0,0,0,0,3,0,0,0,0,0,0,FALSE,0.0772,FALSE
"Chehalis",1965,2001,9802,0,42,29,2,0,0,1,11,5,0,4,0,0,0,0,FALSE,0.1492,FALSE
"Chehalis",1965,2002,10440,0,50,31,6,0,0,0,12,3,4,1,0,0,0,0,FALSE,0.1327,FALSE
"Chehalis",1965,2003,8424,4,79,127,24,0,0,1,28,24,6,0,0,0,0,0,FALSE,0.2049,FALSE
"Chehalis",1965,2004,15825,0,127,132,22,2,0,1,9,20,6,3,0,0,0,0,FALSE,0.2193,FALSE
"Chehalis",1965,2005,9059,1,46,74,11,1,0,0,20,9,3,0,0,0,0,0,FALSE,0.2251,FALSE
"Chehalis",1965,2006,10418,0,47,53,10,0,0,0,4,6,2,0,0,0,0,0,FALSE,0.1728,FALSE
"Chehalis",1965,2007,7602,1,31,60,8,1,0,0,5,3,1,0,0,0,0,0,FALSE,0.1762,FALSE
"Chehalis",1965,2008,6493,0,44,36,8,1,0,1,14,6,0,0,0,0,0,0,FALSE,0.1883,FALSE
"Chehalis",1965,2009,6955,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.1147,FALSE
"Chehalis",1965,2010,6765,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.095,FALSE
"Chehalis",1965,2011,6090,5,136,186,11,0,0,0,43,4,1,0,0,0,0,0,FALSE,0.1856,FALSE
"Chehalis",1965,2012,7592,2,55,51,5,1,0,1,7,7,0,0,0,0,0,0,FALSE,0.1966,FALSE
"Chehalis",1965,2013,9776,1,86,65,8,0,0,1,17,12,0,0,0,0,0,0,FALSE,0.1296,FALSE
"Chehalis",1965,2014,6944,0,61,43,4,0,0,1,10,5,1,0,0,0,0,0,FALSE,0.1858,FALSE
"Chehalis",1965,2015,10568,1,73,33,1,0,0,0,12,1,0,0,0,0,0,0,FALSE,0.1944,FALSE
"Chehalis",1965,2016,8824,0,87,128,15,0,0,1,31,11,3,0,0,0,0,0,FALSE,0.298,FALSE
"Chehalis",1965,2017,4618,0,60,58,5,0,0,0,5,7,0,0,0,0,0,0,FALSE,0.2286,FALSE
"Chehalis",1965,2018,6840,2,129,48,6,0,0,2,4,4,0,0,0,0,0,0,FALSE,0.1665,FALSE
"Chehalis",1965,2019,6130,0,40,76,1,0,0,3,11,1,0,0,0,0,0,0,FALSE,0.1296,FALSE
"Chehalis",1965,2020,6283,2,13,7,2,0,0,0,2,0,0,0,0,0,0,0,FALSE,0.1121,FALSE
"Chehalis",1965,2021,5634,1,3,8,0,0,0,0,2,1,0,0,0,0,0,0,FALSE,0.0771,FALSE
"Chehalis",1965,2022,5350,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,TRUE
"Hoh",242,1980,2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.4218,FALSE
"Hoh",242,1981,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.5046,FALSE
"Hoh",242,1982,3984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.3611,FALSE
"Hoh",242,1983,4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.2502,FALSE
"Hoh",242,1984,3670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.3596,FALSE
